Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Price
4.5,4,64,6.3,48,5,3260,23990
4.2,8,128,6.59,35,5,3800,29990
3.7,12,64,4.5,48,8,1050,699
3.9,4,24,4.77,48,8,1750,984
4.5,6,32,4.5,25,8,1080,649
4.4,6,128,6.4,48,12,3800,25250
4.5,6,32,4.5,25,8,1080,649
4,6,32,3.7,16,8,3000,975
3.9,6,32,4.54,25,8,3000,1329
4.5,6,128,6.39,48,13,3000,24999
4.1,6,64,4.5,48,8,3000,985
4.6,8,256,6.55,48,1,3000,38050
4.6,8,128,6.55,48,1,3000,37319
3.5,6,64,4.5,48,8,3000,599
4.5,6,64,5.5,35,12,3500,36999
4.6,12,25,6.5,64,13,3800,35999
4.5,8,128,6.5,64,13,3800,31999
4.5,8,128,6.5,64,13,3800,31999
4.4,2,32,6.22,38,5,4030,8995
3.9,6,32,4.77,25,8,3000,899
4.5,6,128,6.4,64,8,6000,19900
4.4,4,128,6.5,48,8,5000,16990
4.5,6,64,4.7,35,5,3500,28999
4.4,8,128,6.44,48,13,4440,34990
4,2,32,6.2,38,2,3800,9989
4.1,6,32,4.54,48,5,3000,1699
3.8,6,32,4.7,64,5,5000,3999
3.8,6,32,4.7,64,8,3400,3999
4.5,8,128,6.44,48,8,4700,24990
4.7,8,64,6.1,35,12,3500,68300
4.1,6,32,4.4,48,8,2500,985
4,6,32,3.7,16,23,3000,980
3,8,64,4.54,48,23,3800,899
4.1,6,32,3.7,64,8,3500,980
4.1,6,32,3.7,64,23,3500,930
4.1,6,32,4.4,48,8,2500,935
4.5,4,128,6.38,48,8,4700,16990
4.5,8,128,6.7,35,12,4700,39999
4.3,6,64,6.5,48,8,5000,18499
4.4,8,128,6.44,48,13,4440,34990
4.4,8,256,6.44,48,13,4440,37990
4.5,8,64,4.5,16,8,3000,799
3.9,6,32,4.77,48,12,2800,982
3.9,6,32,4.77,48,8,2800,1099
4.4,6,64,6.53,64,8,4700,16899
4.5,4,64,5.6,35,20,3000,30999
3.9,6,32,4.5,64,8,2000,749
4.3,6,64,6.5,48,8,5000,18499
4.1,6,32,4.7,48,12,3000,1499
3.7,6,32,4.5,48,8,3000,649
4.3,6,128,5.99,35,12,3000,16999
3.9,6,32,4.5,48,8,3000,849
4,6,32,4.5,48,12,4700,1049
4.4,8,256,6.44,48,8,4700,31990
3.6,6,64,4.5,48,8,3500,629
4.5,8,128,6.7,35,12,4700,39999
4.1,6,32,44,48,8,3000,970
4.6,8,256,6.41,48,5,3000,35999
4,8,64,4.77,48,8,3500,1045
3.9,6,32,4.54,48,12,1750,1110
3.9,6,32,4.54,48,8,3000,1349
4.5,6,128,6.39,48,13,3800,24999
4.4,8,128,6.7,64,12,4700,32999
3.6,6,64,4.5,48,8,3000,649
4.4,8,128,6.4,64,13,4025,29990
4.4,6,128,6.26,48,2,3750,22999
3.5,6,64,4.5,48,8,3000,599
4.4,12,25,6.44,48,13,4440,44990
4.2,4,4,4.54,48,8,1020,2135
4.5,8,256,6.6,48,13,4065,41990
3.4,6,32,4.5,48,8,1050,629
3.4,6,32,4.5,48,8,1050,629
4.5,8,128,6.3,48,2,3500,15490
3.7,8,64,4.5,64,8,1050,799
4.4,8,256,6.44,48,8,4700,31990
4.2,6,32,4.54,64,8,2500,1619
4.2,6,32,4.54,48,15,2500,1259
4.2,4,4,4.5,64,15,3500,1349
3.6,8,64,4.54,64,15,2500,1079
3.9,4,64,4.54,64,8,1750,1399
4.1,6,32,3.7,64,15,3500,945
4.1,6,32,4.4,48,8,2500,970
4.1,6,32,4.54,48,20,3500,3399
4.3,8,128,6.52,48,8,5000,15990
3.7,6,64,4.54,48,8,1500,749
4.6,8,256,6.67,48,1,4085,46969
4.3,6,32,4.58,64,8,1750,1799
4.4,6,128,6.5,48,5,4700,17990
4,6,32,4.77,48,8,3000,980
4.1,8,64,4.77,48,18,3000,1275
4.1,8,64,4.77,48,18,3000,1275
4.1,8,64,4.77,48,18,3000,1275
4,6,32,4.5,48,8,3000,949
4.5,6,128,6.4,64,8,6000,19900
